1,113,196,0.009116404,0.032157959,0.028344896,0,68.76592126
2,237,409,0.005245722,0.016155497,0.015229997,1.492326442,39.90881126
3,397,690,0.00318775,0.008696523,0.009380564,1.931074276,23.50501396
4,631,1096,0.00214495,0.004865329,0.006341249,1.710079264,13.43226351
5,891,1561,0.001894307,0.00387256,0.005243781,0.720284695,10.75160406
6,1164,2052,0.001802473,0.003369504,0.004588611,0.371855368,9.373908315
7,1442,2570,0.001768077,0.003007753,0.004087724,0.179924364,8.384232866
9,1849,3340,0.001733569,0.002606607,0.003563336,0.132084669,7.287201153
10,2016,3668,0.001719804,0.002458962,0.003365863,0.184386729,6.882931992
16,2467,4537,0.001690789,0.002245847,0.003067619,0.06,6.292124083
26,2682,4953,0.001674543,0.002161691,0.002951797,0.7287298,6.060096797
